Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2016/1/21,-3.23,10272,31821,922,3242,14116,22886,5091,"(-4.2, -1.4]"
2016/1/22,1.25,13111,31237,939,3268,15655,24088,4605,"(0.0, 1.4]"
2016/1/25,0.75,9155,26975,1041,3549,12194,19606,4330,"(0.0, 1.4]"
2016/1/26,-6.42,12872,40572,1042,4065,17657,29666,6121,"(-10.0, -4.2]"
2016/1/27,-0.52,13667,37862,1372,4265,16664,29720,5145,"(-1.4, 0.0]"
2016/1/28,-2.92,12432,34436,1618,4493,16513,25603,4752,"(-4.2, -1.4]"
2016/1/29,3.09,8857,27105,1369,4027,11834,19795,4333,"(1.4, 4.2]"
2016/2/1,-1.78,10690,27172,1256,3359,15543,18471,3848,"(-4.2, -1.4]"
2016/2/2,2.26,9384,26845,1275,3499,15019,17481,3729,"(1.4, 4.2]"
2016/2/3,-0.38,7905,23357,887,2890,12157,15542,3563,"(-1.4, 0.0]"
2016/2/4,1.53,9547,20204,969,2600,11982,14971,2798,"(1.4, 4.2]"
2016/2/5,-0.63,18121,22907,840,1811,21492,17306,2230,"(-1.4, 0.0]"
2016/2/15,-0.63,8520,23332,888,2609,9918,17811,4123,"(-1.4, 0.0]"
2016/2/16,3.29,11230,26706,2139,4144,11679,21889,4368,"(1.4, 4.2]"
2016/2/17,1.08,15254,27633,1926,5253,13854,24930,4103,"(0.0, 1.4]"
2016/2/18,-0.16,11447,27685,1705,5229,12721,22283,4128,"(-1.4, 0.0]"
2016/2/19,-0.1,8470,25098,1390,3896,11317,18416,3835,"(-1.4, 0.0]"
2016/2/22,2.35,8073,26580,1111,3820,10337,19576,4740,"(1.4, 4.2]"
2016/2/23,-0.81,9298,27403,1417,4102,12207,19886,4608,"(-1.4, 0.0]"
2016/2/24,0.88,8328,28778,1152,3847,13116,19381,4609,"(0.0, 1.4]"
2016/2/25,-6.41,10297,37264,1618,5590,15218,26983,5360,"(-10.0, -4.2]"
